"Risk","CUE2_Appearance2_Lot of (vs. no) body adornment_Abstract_0","CUE4_Appearance4_Worn out (vs. intact) clothes_Abstract_1","CUE5_Appearance5_Provocative (vs. reserved) clothes_Abstract_1","CUE6_Appearance6_Unconventional (vs. conventional) appearance_Abstract_1","CUE8_Appearance8_Dark (vs. bright) clothes_Abstract_0","CUE10_Body1_Tense (vs. relaxed) posture_Abstract_1","CUE12_Body3_Overweight (vs. underweight)_Abstract_0","CUE15_Eyes1_Dark (vs. no dark) rings under eyes_Abstract_0","CUE16_Eyes2_Reddened (vs. non-reddened) eyes_Abstract_0","CUE17_Eyes3_Dark (vs. bright) eyes_Abstract_0","CUE18_Face1_Happy (vs. sad) expression_Abstract_1","CUE19_Face2_Babyish (vs. mature) Face_Abstract_1","CUE20_Face3_Feminine (vs. masculine) face_Abstract_1","CUE25_Face8_Ugly (vs. beautiful) face_Abstract_1","CUE26_Face9_Red (vs. pale) cheeks_Abstract_0","CUE54_Mouth3_Full (vs. narrow) lips_Abstract_0","CUE55_Set1_Pallid (vs. colorful) background_Abstract_0","CUE56_Set2_Unorganized (vs. organized) background_Abstract_1","CUE57_Set3_Alcohol (vs. no alcohol) visible_Abstract_0","CUE58_Set4_Picture taken inside (vs. outside)_Abstract_0","CUE60_Set6_Cigarettes (vs. no cigarettes) visible_Abstract_0","CUE65_Skin2_Pale (vs. tanned) skin_Abstract_0","CUE68_Skin5_Spotty (vs. spot-free) skin_Abstract_0","CUE69_Skin6_Greasy (vs. dry) skin_Abstract_0","CUE72_View2_Averted (vs. front-facing) gaze_Abstract_0"
3.375,3.375,1.75,4.5,2.5,6.0,3.375,4.25,4.75,2.5,5.875,4.75,4.0,3.7143,3.75,2.0,3.75,5.625,4.125,0.0,7.25,7.0,5.875,3.25,4.75,1.125
2.675,1.5,2.125,4.0,3.0,2.75,3.875,3.25,4.125,2.0,5.625,4.125,4.375,4.1429,4.75,2.125,3.375,2.875,2.8571,0.125,8.0,7.0,5.625,2.25,4.75,1.0
3.65,2.875,2.75,4.125,3.0,2.375,2.5,4.0,3.0,3.375,4.625,5.75,4.75,4.0,3.75,5.25,2.875,5.5,5.875,0.0,7.625,7.0,3.75,3.0,5.5,5.875
2.9,2.75,1.875,3.875,3.25,2.25,3.125,3.625,3.75,1.7143,5.0,4.25,4.25,4.5,3.125,4.375,3.625,3.25,1.875,0.5,7.0,7.0,3.75,1.625,4.5,3.875
3.175,2.125,1.75,5.0,4.0,2.5,2.25,3.5,2.125,1.5,4.75,3.875,4.625,5.75,2.0,4.875,4.375,4.625,1.75,0.0,8.0,7.0,3.75,1.5,4.25,5.625
4.75,2.0,2.25,3.375,4.0,6.375,4.625,3.875,3.75,3.0,4.875,2.875,4.0,3.375,4.25,5.25,3.5,3.125,4.625,0.0,7.0,7.0,4.0,2.625,4.75,6.5
3.2,1.75,2.5,3.25,4.0,3.625,4.25,5.25,3.0,2.875,4.375,6.5,3.875,4.0,5.125,3.125,2.625,1.375,3.125,0.0,7.0,7.0,5.75,3.875,3.75,3.125
4.75,2.625,3.125,2.625,4.25,3.5,1.0,2.875,3.625,3.375,4.875,2.875,4.25,5.125,2.625,4.125,3.75,3.375,4.5,0.0,8.0,7.0,3.875,2.125,4.0,5.875
4.225,3.125,1.75,3.375,4.625,5.0,4.875,2.5,2.0,1.625,4.625,2.75,3.75,5.75,2.75,1.875,4.0,2.5,3.625,0.0,7.0,7.0,4.75,1.875,4.125,5.75
3.35,3.375,2.5,2.125,4.0,6.25,3.5,3.875,3.0,1.5,4.375,6.125,4.625,5.625,2.875,4.25,4.125,5.25,2.875,0.0,7.0,7.0,5.5,3.25,5.0,2.125
